nrow,language_id,algorithm_id,content
43,8,13,"<?php\n\nclass Queue {\n    protected $queue;\n\n    public function __construct() {\n        $this->queue = [];\n    }\n\n    public function isEmpty() {\n        return empty($this->queue);\n    }\n\n    public function enqueue($item) {\n        array_push($this->queue, $item);\n    }\n\n    public function dequeue() {\n        if (!$this->isEmpty()) {\n            return array_shift($this->queue);\n        }\n        return null;\n    }\n\n    public function size() {\n        return count($this->queue);\n    }\n}\n\n// Example usage\n$queue = new Queue();\n$queue->enqueue(\"John\");\n$queue->enqueue(\"Jane\");\n$queue->enqueue(\"Bob\");\n\necho \"Queue size: \" . $queue->size() . \"\\n\";\necho \"Dequeued item: \" . $queue->dequeue() . \"\\n\";\necho \"Queue size after dequeue: \" . $queue->size() . \"\\n\";\n\n?>"
39,5,10,"#include <stdio.h>\n\nvoid insertionSort(int arr[], int n) {\n    int i, key, j;\n    for (i = 1; i < n; i++) {\n        key = arr[i];\n        j = i - 1;\n \n        while (j >= 0 && arr[j] > key) {\n            arr[j + 1] = arr[j];\n            j = j - 1;\n        }\n        arr[j + 1] = key;\n    }\n}\n\nvoid printArray(int arr[], int n) {\n    int i;\n    for (i = 0; i < n; i++)\n        printf(\"%d \", arr[i]);\n    printf(\"\\n\");\n}\n\nint main() {\n    int arr[] = { 64, 34, 25, 12, 22, 11, 90 };\n    int n = sizeof(arr) / sizeof(arr[0]);\n\n    printf(\"Original array: \");\n    printArray(arr, n);\n\n    insertionSort(arr, n);\n\n    printf(\"Sorted array: \");\n    printArray(arr, n);\n\n    return 0;\n}\n"
34,13,12,"module Main where\n\ndata Stack a = EmptyStack | Stack a (Stack a) deriving Show\n\n-- Push an element onto the stack\npush :: a -> Stack a -> Stack a\npush x stack = Stack x stack\n\n-- Pop the top element from the stack\npop :: Stack a -> Maybe (a, Stack a)\npop EmptyStack = Nothing\npop (Stack x rest) = Just (x, rest)\n\n-- Check if the stack is empty\nisEmpty :: Stack a -> Bool\nisEmpty EmptyStack = True\nisEmpty _ = False\n\n-- Get the top element of the stack without removing it\ntop :: Stack a -> Maybe a\ntop EmptyStack = Nothing\ntop (Stack x _) = Just x\n\nmain :: IO ()\nmain = do\n    let stack = push 1 (push 2 (push 3 EmptyStack))\n    print stack\n    print (top stack)\n    let stackAfterPop = case pop stack of\n                            Just (_, s) -> s\n                            Nothing -> EmptyStack\n    print stackAfterPop\n    print (isEmpty stackAfterPop)\n"
60,7,5,"using System;\n\nclass UnionFind\n{\n    private int[] parent;\n    private int[] rank;\n\n    public UnionFind(int n)\n    {\n        parent = new int[n];\n        rank = new int[n];\n\n        for (int i = 0; i < n; i++)\n        {\n            parent[i] = i;\n            rank[i] = 0;\n        }\n    }\n\n    public int Find(int x)\n    {\n        if (parent[x] != x)\n        {\n            parent[x] = Find(parent[x]);\n        }\n\n        return parent[x];\n    }\n\n    public void Union(int x, int y)\n    {\n        int rootX = Find(x);\n        int rootY = Find(y);\n\n        if (rootX == rootY)\n        {\n            return;\n        }\n\n        if (rank[rootX] < rank[rootY])\n        {\n            parent[rootX] = rootY;\n        }\n        else if (rank[rootX] > rank[rootY])\n        {\n            parent[rootY] = rootX;\n        }\n        else\n        {\n            parent[rootY] = rootX;\n            rank[rootX]++;\n        }\n    }\n}\n\nclass Program\n{\n    static void Main(string[] args)\n    {\n       "
38,17,8,"module Main exposing (main)\n\nmergeSort : List comparable -> List comparable\nmergeSort list =\n    let\n        merge sorted1 sorted2 =\n            case ( sorted1, sorted2 ) of\n                ( [], l2 ) ->\n                    l2\n\n                ( l1, [] ) ->\n                    l1\n\n                ( front :: rest1, front2 :: rest2 ) ->\n                    if front < front2 then\n                        front :: merge rest1 sorted2\n                    else\n                        front2 :: merge sorted1 rest2\n    in\n        let\n            length = List.length list\n        in\n            if length <= 1 then\n                list\n            else\n                let\n                    ( half1, half2 ) = List.splitAt (length // 2) list\n                in\n                    merge (mergeSort half1) (mergeSort half2)\n\n\nmain : List comparable\nmain =\n    let\n        sortedList = mergeSort [ 8, 4, 1, 5, 2, 6, 3, 7 ]\n    in\n        sortedList\n"
8,1,14,"def gcd(a, b):\n    while b:\n        a, b = b, a % b\n    return a\n\n# Example usage\nprint(gcd(48, 18))  # Output: 6\n"
40,15,13,"class Queue {\n  List<int> _queue = [];\n\n  void enqueue(int value) {\n    _queue.add(value);\n  }\n\n  int dequeue() {\n    if (_queue.isNotEmpty) {\n      return _queue.removeAt(0);\n    } else {\n      throw Exception(\"Queue is empty\");\n    }\n  }\n\n  int peek() {\n    if (_queue.isNotEmpty) {\n      return _queue.elementAt(0);\n    } else {\n      throw Exception(\"Queue is empty\");\n    }\n  }\n\n  bool isEmpty() {\n    return _queue.isEmpty;\n  }\n}\n\nvoid main() {\n  Queue queue = Queue();\n\n  queue.enqueue(10);\n  queue.enqueue(20);\n  queue.enqueue(30);\n\n  print(\"Dequeued item: ${queue.dequeue()}\"); // Output: Dequeued item: 10\n  print(\"Peek item: ${queue.peek()}\"); // Output: Peek item: 20\n  print(\"Is empty? ${queue.isEmpty()}\"); // Output: Is empty? false\n}\n"
32,14,7,"fn quick_sort(arr: &mut [i32]) {\n    if arr.len() > 1 {\n        let pivot_index = partition(arr);\n        quick_sort(&mut arr[0..pivot_index]);\n        quick_sort(&mut arr[pivot_index + 1..]);\n    }\n}\n\nfn partition(arr: &mut [i32]) -> usize {\n    let pivot = arr[arr.len() - 1];\n    let mut i = 0;\n\n    for j in 0..arr.len() - 1 {\n        if arr[j] <= pivot {\n            arr.swap(i, j);\n            i += 1;\n        }\n    }\n\n    arr.swap(i, arr.len() - 1);\n    i\n}\n\nfn main() {\n    let mut arr = [64, 34, 25, 12, 22, 11, 90];\n    println!(\"Original array: {:?}\", arr);\n    \n    quick_sort(&mut arr);\n    \n    println!(\"Sorted array: {:?}\", arr);\n}\n"
40,6,9,"#include <iostream>\nusing namespace std;\n\nvoid selectionSort(int arr[], int n) {\n    for (int i = 0; i < n - 1; ++i) {\n        int minIndex = i;\n\n        for (int j = i + 1; j < n; ++j) {\n            if (arr[j] < arr[minIndex]) {\n                minIndex = j;\n            }\n        }\n\n        // Swap arr[i] and arr[minIndex]\n        int temp = arr[i];\n        arr[i] = arr[minIndex];\n        arr[minIndex] = temp;\n    }\n}\n\nint main() {\n    int arr[] = {64, 34, 25, 12, 22, 11, 90};\n    int n = sizeof(arr) / sizeof(arr[0]);\n\n    cout << \"Original array: \";\n    for (int i = 0; i < n; ++i) {\n        cout << arr[i] << \" \";\n    }\n    \n    selectionSort(arr, n);\n    \n    cout << \"\\nSorted array: \";\n    for (int i = 0; i < n; ++i) {\n        cout << arr[i] << \" \";\n    }\n    \n    return 0;\n}\n"
40,3,13,"class Queue<T> {\n    private queue: T[];\n\n    constructor() {\n        this.queue = [];\n    }\n\n    enqueue(item: T): void {\n        this.queue.push(item);\n    }\n\n    dequeue(): T | undefined {\n        return this.queue.shift();\n    }\n\n    peek(): T | undefined {\n        return this.queue[0];\n    }\n\n    isEmpty(): boolean {\n        return this.queue.length === 0;\n    }\n\n    size(): number {\n        return this.queue.length;\n    }\n}\n\n// Example usage\nconst queue = new Queue<number>();\n\nqueue.enqueue(10);\nqueue.enqueue(20);\nqueue.enqueue(30);\n\nconsole.log('Size:', queue.size()); // Output: 3\nconsole.log('Dequeue:', queue.dequeue()); // Output: 10\nconsole.log('Peek:', queue.peek()); // Output: 20\nconsole.log('Is Empty:', queue.isEmpty()); // Output: false\n"
